store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,gift_wrapping_available,is_returnable,features,overlay,video_blocks,roundels,video_title,video_url,series_name,series_id,next_day_delivery_control,badges,video_tracking_id,dimensions,ean,google_product_category,url_key,price,special_price,cost,weight,msrp,gift_wrapping_price,manufacturer,color,status,is_recurring,visibility,tax_class_id,ebizmarts_mark_visited,comfort,delivery_time,edisupplier,mattress_sided,product_overlay,product_type,range,size,spring_system,matt_depth,psbc_springs,psbc_comfort,psbc_firmness,psbc_offer,quilt_type,description,short_description,meta_keyword,custom_layout_update,quick_description,video_text,mini_description,image_description,product_listing_description,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,website,_media_image,_media_lable,_media_position,_media_is_disabled,fabric,headboard_style,muk_features,studio_color,studio_mattress,studio_storage,studio_style,muk_brand,muk_comfort,muk_price,muk_spring,studio_id,base_type,storage,ready_made_collection,what_included,headboard_inc,collection_new,muk_size,muk_awards,lingo24_disabled,fibre_content,related_tgtr_position_limit,related_tgtr_position_behavior,upsell_tgtr_position_limit,upsell_tgtr_position_behavior,bedstead_type,slat_type,supplier_sku,heating_type,power_output,dog_chara,dog_extra,dog_features,dog_weight,dog_fabric,dog_range,dog_color,dog_size,top_guar,top_filling,top_tog,top_type,bedding_bundle_additions,pillow_bestfor,pillow_option
admin,"base,base_mattress",Mattresses,simple,,25NZ14090MR0001,0,"Silentnight Comfortable Foam Rolled Mattress, Single",,,/c/o/comfort_zone_main_1_1.jpg,/r/o/rolled_corner_co_v2_2.jpg,/r/o/rolled_corner_co_v2_2.jpg,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,No,Use config,,,,,,,Silentnight Comfortable Foam Rolled Mattress ,SCFRM,Next Day Only,,,,5.04E+12,Furniture > Beds & Accessories > Mattresses,silentnight-comfortable-foam-rolled-mattress-single-3,124.1667,99.1667,,0,,,Silentnight,None,Enabled,No,Not Visible Individually,Taxable Goods,No,,2 Weeks,Silentnight,,,Mattress,Mattress Now,Single (3'),,,Please select...,Please select...,Please select...,Please select...,,<p>,Silentnight Comfortable Foam Rolled Mattress - Single,,,,,,,,01/05/2013 00:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,0,1,1,0,1,0,0,1,1,"Silentnight Comfortable Foam Rolled Mattress, Single",0,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,"base,base_mattress",Mattresses,simple,30,25Z318090MR0001,0,"Silentnight Rolled Mattress Now Memory 3 Zone, Single",,,/m/a/main_life_7.jpg,/3/_/3_zone_thumb_13.jpg,/3/_/3_zone_thumb_13.jpg,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,No,Use config,Memory Foam,,,,,,Silentnight Rolled Mattress Now Memory 3 Zone ,SRMNM3Z,Next Day Only,,,,5.04E+12,Furniture > Beds & Accessories > Mattresses,silentnight-rolled-mattress-now-memory-3-zone-single,190.8333,132.5,60.97,0,,,Silentnight,None,Enabled,No,Not Visible Individually,Taxable Goods,No,,2 Weeks,Silentnight,,,Mattress,Mattress Now,Single (3'),,,Please select...,Please select...,Please select...,Please select...,,<p>,Silentnight Rolled Mattress Now Memory 3 Zone Single,,,,,,,,01/05/2013 00:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,0,1,1,0,1,0,0,1,1,"Silentnight Rolled Mattress Now Memory 3 Zone, Single",0,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,"base,base_mattress",Mattresses,simple,30,25Z318135MR0001,0,"Silentnight Rolled Mattress Now Memory 3 Zone, Double",,,/m/a/main_life_9.jpg,/3/_/3_zone_thumb_15.jpg,/3/_/3_zone_thumb_15.jpg,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,No,Use config,Memory Foam,,,,,,Silentnight Rolled Mattress Now Memory 3 Zone ,SRMNM3Z,Next Day Only,,,,5.04E+12,Furniture > Beds & Accessories > Mattresses,silentnight-rolled-mattress-now-memory-3-zone-double,249.1667,182.5,82.24,0,,,Silentnight,None,Enabled,No,Not Visible Individually,Taxable Goods,No,,2 Weeks,Silentnight,,,Mattress,Mattress Now,"Double (4'6"")",,,Please select...,Please select...,Please select...,Please select...,,<p>,Silentnight Rolled Mattress Now Memory 3 Zone Double,,,,,,,,01/05/2013 00:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,0,1,1,0,1,0,0,1,1,"Silentnight Rolled Mattress Now Memory 3 Zone, Double",0,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,"base,base_mattress",Mattresses,simple,30,25Z318150MR0001,0,"Silentnight Rolled Mattress Now Memory 3 Zone, King Size",,,/m/a/main_life_11.jpg,/3/_/3_zone_thumb_17.jpg,/3/_/3_zone_thumb_17.jpg,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,No,Use config,Memory Foam,,,,,,Silentnight Rolled Mattress Now Memory 3 Zone ,SRMNM3Z,Next Day Only,,,,5.04E+12,Furniture > Beds & Accessories > Mattresses,silentnight-rolled-mattress-now-memory-3-zone-king-size,290.8333,215.8333,92.44,0,,,Silentnight,None,Enabled,No,Not Visible Individually,Taxable Goods,No,,2 Weeks,Silentnight,,,Mattress,Mattress Now,King (5'),,,Please select...,Please select...,Please select...,Please select...,,<p>,Silentnight Rolled Mattress Now Memory 3 Zone Double,,,,,,,,01/05/2013 00:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,0,1,1,0,1,0,0,1,1,"Silentnight Rolled Mattress Now Memory 3 Zone, King Size",0,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,"base,base_mattress",Mattresses,simple,,25Z720090MR0001,0,"Silentnight Rolled Mattress Now Memory 7 Zone, Single",,,/7/_/7_zone_main_2_1_1.jpg,/z/o/zone7_corner_co_v2_1_1.jpg,/z/o/zone7_corner_co_v2_1_1.jpg,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,No,Use config,Memory Foam,,,,,,Silentnight Rolled Mattress Now Memory 7 Zone ,SRMNM7Z,Next Day Only,,,,5.04E+12,Furniture > Beds & Accessories > Mattresses,silentnight-rolled-mattress-now-memory-7-zone-single,240.8333,174.1667,,0,,,Silentnight,None,Enabled,No,Not Visible Individually,Taxable Goods,No,,2 Weeks,Silentnight,,,Mattress,Mattress Now,Single (3'),,,Please select...,Please select...,Please select...,Please select...,,<p>,Silentnight Rolled Mattress Now Memory 7 Zone - Single,,,,,,,,01/05/2013 00:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,0,1,1,0,1,0,0,1,1,"Silentnight Rolled Mattress Now Memory 7 Zone, Single",0,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,"base,base_mattress",Mattresses,simple,,25Z720135MR0001,0,"Silentnight Rolled Mattress Now Memory 7 Zone, Double",,,/7/_/7_zone_main_2_1_3.jpg,/z/o/zone7_corner_co_v2_1_3.jpg,/z/o/zone7_corner_co_v2_1_3.jpg,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,No,Use config,Memory Foam,,,,,,Silentnight Rolled Mattress Now Memory 7 Zone ,SRMNM7Z,Next Day Only,,,,5.04E+12,Furniture > Beds & Accessories > Mattresses,silentnight-rolled-mattress-now-memory-7-zone-double,307.5,224.1667,,0,,,Silentnight,None,Enabled,No,Not Visible Individually,Taxable Goods,No,,Next Day,Silentnight,,,Mattress,Mattress Now,"Double (4'6"")",,,Please select...,Please select...,Please select...,Please select...,,<p>,Silentnight Rolled Mattress Now Memory 7 Zone - Double,,,,,,,,01/05/2013 00:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,0,1,1,0,1,0,0,1,1,"Silentnight Rolled Mattress Now Memory 7 Zone, Double",0,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,"base,base_mattress",Mattresses,simple,,25Z720150MR0001,0,"Silentnight Rolled Mattress Now Memory 7 Zone, King Size",,,/7/_/7_zone_main_2_1_5.jpg,/z/o/zone7_corner_co_v2_1_5.jpg,/z/o/zone7_corner_co_v2_1_5.jpg,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,No,Use config,Memory Foam,,,,,,Silentnight Rolled Mattress Now Memory 7 Zone ,SRMNM7Z,Next Day Only,,,,5.04E+12,Furniture > Beds & Accessories > Mattresses,silentnight-rolled-mattress-now-memory-7-zone-king,365.8333,249.1667,,0,,,Silentnight,None,Enabled,No,Not Visible Individually,Taxable Goods,No,,2 Weeks,Silentnight,,,Mattress,Mattress Now,King (5'),,,Please select...,Please select...,Please select...,Please select...,,Silentnight Rolled Mattress Now Memory 7 Zone - King,Silentnight Rolled Mattress Now Memory 7 Zone - King,,,,,,,,01/05/2013 00:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,0,1,1,0,1,0,0,1,1,"Silentnight Rolled Mattress Now Memory 7 Zone, King Size",0,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,"base,base_mattress",Mattresses,simple,,25NZ14135MR0001,0,"Silentnight Comfortable Foam Rolled Mattress, Double",,,/c/o/comfort_zone_main_1_4.jpg,/r/o/rolled_corner_co_v2_5.jpg,/r/o/rolled_corner_co_v2_5.jpg,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,No,Use config,,,,,,,Silentnight Comfortable Foam Rolled Mattress ,SCFRM,Next Day Only,,,,5.04E+12,Furniture > Beds & Accessories > Mattresses,silentnight-comfortable-foam-rolled-mattress-double,157.5,132.5,,0,,,Silentnight,None,Enabled,No,Not Visible Individually,Taxable Goods,No,,2 Weeks,Silentnight,,,Mattress,Mattress Now,"Double (4'6"")",,,Please select...,Please select...,Please select...,Please select...,,<p>,Silentnight Comfortable Foam Rolled Mattress - Double,,,,,,,,01/05/2013 00:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,0,1,1,0,1,0,0,1,1,"Silentnight Comfortable Foam Rolled Mattress, Double",0,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,"base,base_mattress",Mattresses,simple,,25NZ14150MR0001,0,"Silentnight Comfortable Foam Rolled Mattress, King Size",,,/c/o/comfort_zone_main_1_7.jpg,/r/o/rolled_corner_co_v2_8.jpg,/r/o/rolled_corner_co_v2_8.jpg,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,No,Use config,,,,,,,Silentnight Comfortable Foam Rolled Mattress ,SCFRM,Next Day Only,,,,5.04E+12,Furniture > Beds & Accessories > Mattresses,silentnight-comfortable-foam-rolled-mattress-king,190.8333,149.1667,,0,,,Silentnight,None,Enabled,No,Not Visible Individually,Taxable Goods,No,,2 Weeks,Silentnight,,,Mattress,Mattress Now,King (5'),,,Please select...,Please select...,Please select...,Please select...,,<p>,Silentnight Comfortable Foam Rolled Mattress - King,,,,,,,,01/05/2013 00:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,0,1,1,0,1,0,0,1,1,"Silentnight Comfortable Foam Rolled Mattress, King Size",0,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Headboards,simple,,90PRIS090HB0042,0,"Silentnight Paris Headboard in Sandstone, Single",,,/p/a/paris_sandstone_front_1000px_1.jpg,/p/a/paris_sandstone_front_1000px_1.jpg,/p/a/paris_sandstone_front_1000px_1.jpg,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,No,Use config,,,,,,,Silentnight Paris Headboard,SPARISH,No,,,,5.04E+12,Furniture > Beds & Accessories > Headboards & Footboards,paris-090cm-headboard-mink,82.5,,,0,,,Silentnight,Sandstone,Enabled,No,Not Visible Individually,Taxable Goods,No,,2 Weeks,Silentnight,,,Headboard,Headboard,Single (3'),,,,,,,,<p>,<p>The Paris Headboard offers simplicity and luxury to any bedroom. Padded for supreme comfort and available in selection of sumptuous  fabrics.</p>,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,0,1,1,0,1,0,0,1,1,"Silentnight Paris Headboard in Sandstone, Single",0,simple,,,,,,,,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
